player,hoop_math_player_name,school,hoop_math_school,season,hm_fag,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent
Keon Ambrose-Hylton,Keon Ambrose-Hylton,Alabama,Alabama,2020-21,15,0.621,0.667,0.733,0.545,0.667,0.267,1,0.75,0,NA,NA,0.267,0.25
Keon Ellis,Keon Ellis,Alabama,Alabama,2020-21,119,0.619,0.5920000000000001,0.395,0.6809999999999999,0.344,0.151,0.389,0.14300000000000002,0.45399999999999996,0.389,0.9520000000000001,0.395,0.723
Jahvon Quinerly,Jahvon Quinerly,Alabama,Alabama,2020-21,297,0.583,0.5660000000000001,0.465,0.565,0.077,0.131,0.308,0,0.40399999999999997,0.433,0.5579999999999999,0.249,0.6890000000000001
Darius Miles,Darius Miles,Alabama,Alabama,2020-21,28.999999999999996,0.5790000000000001,0.534,0.207,0.667,0,0.10300000000000001,0.33299999999999996,1,0.69,0.35,0.7140000000000001,0.276,0.875
Joshua Primo,Joshua Primo,Alabama,Alabama,2020-21,195,0.5650000000000001,0.541,0.32299999999999995,0.603,0.368,0.09699999999999999,0.158,0.33299999999999996,0.579,0.381,0.884,0.226,0.75
Jordan Bruner,Jordan Bruner,Alabama,Alabama,2020-21,106,0.559,0.5329999999999999,0.321,0.706,0.41700000000000004,0.075,0.125,0,0.604,0.32799999999999996,0.9520000000000001,0.292,0.71
John Petty,John Petty Jr. ,Alabama,Alabama,2020-21,331,0.556,0.536,0.242,0.588,0.36200000000000004,0.13,0.349,0.133,0.628,0.37,0.805,0.193,0.7340000000000001
Juwan Gary,Juwan Gary,Alabama,Alabama,2020-21,89,0.547,0.545,0.775,0.609,0.5479999999999999,0.124,0.455,0.4,0.10099999999999999,0.111,1,0.382,0.529
Jaden Shackelford,Jaden Shackelford,Alabama,Alabama,2020-21,376,0.533,0.493,0.37200000000000005,0.557,0.179,0.138,0.25,0.231,0.489,0.342,0.937,0.316,0.7559999999999999
Herb Jones,Herbert Jones,Alabama,Alabama,2020-21,289,0.529,0.48100000000000004,0.647,0.529,0.242,0.156,0.222,0.1,0.19699999999999998,0.35100000000000003,0.65,0.45,0.715
Alex Reese,Alex Reese,Alabama,Alabama,2020-21,179,0.477,0.466,0.29100000000000004,0.596,0.581,0.017,0,NA,0.693,0.282,0.914,0.08900000000000001,0.688
James Rojas,James Rojas,Alabama,Alabama,2020-21,80,0.443,0.38799999999999996,0.562,0.444,0.35,0.11199999999999999,0.222,0,0.325,0.231,1,0.45,0.667
Bennedict Mathurin,Bennedict Mathurin,Arizona,Arizona,2020-21,184,0.632,0.5820000000000001,0.293,0.722,0.513,0.223,0.268,0.273,0.484,0.42700000000000005,0.9209999999999999,0.413,0.8420000000000001
Ira Lee,Ira Lee,Arizona,Arizona,2020-21,49,0.586,0.551,0.408,0.75,0.267,0.5920000000000001,0.414,0.75,0,NA,NA,0.38799999999999996,0.737
Jordan Brown,Jordan Brown,Arizona,Arizona,2020-21,159,0.58,0.5660000000000001,0.49700000000000005,0.7090000000000001,0.625,0.49700000000000005,0.43,0.5,0.006,0,NA,0.61,0.598
Azuolas Tubelis,Azuolas Tubelis,Arizona,Arizona,2020-21,219,0.558,0.518,0.511,0.652,0.6579999999999999,0.306,0.313,0.857,0.183,0.325,0.9229999999999999,0.47,0.6990000000000001
Christian Koloko,Christian Koloko,Arizona,Arizona,2020-21,97,0.546,0.515,0.639,0.6609999999999999,0.78,0.35100000000000003,0.265,0.444,0.01,0,NA,0.557,0.63
Jemarl Baker,Baker Jemarl,Arizona,Arizona,2020-21,124,0.532,0.5,0.13699999999999998,0.47100000000000003,0.5,0.298,0.486,0.222,0.565,0.34299999999999997,0.875,0.19399999999999998,0.833
James Akinjo,James Akinjo,Arizona,Arizona,2020-21,313,0.521,0.45799999999999996,0.214,0.433,0.10300000000000001,0.39,0.311,0.21100000000000002,0.396,0.41100000000000003,0.6859999999999999,0.374,0.8290000000000001
Dalen Terry,Dalen Terry,Arizona,Arizona,2020-21,89,0.532,0.506,0.281,0.68,0.529,0.247,0.318,0.7140000000000001,0.47200000000000003,0.33299999999999996,1,0.494,0.614
Kerr Kriisa,Kerr Kriisa,Arizona,Arizona,2020-21,39,0.513,0.5,0.051,0,NA,0.051,0,NA,0.897,0.371,1,0.051,1
Terrell Brown,Brown Terrell,Arizona,Arizona,2020-21,154,0.5,0.43799999999999994,0.273,0.524,0.22699999999999998,0.494,0.342,0.077,0.23399999999999999,0.361,0.846,0.42200000000000004,0.769
Chris Osten,Chris Osten,Arizona State,Arizona State,2020-21,45,0.56,0.6,0.6890000000000001,0.742,0.7829999999999999,0.311,0.28600000000000003,0.75,0,NA,NA,0.444,0.35
Remy Martin,Remy Martin,Arizona State,Arizona State,2020-21,311,0.553,0.5,0.254,0.5820000000000001,0.152,0.315,0.39799999999999996,0.128,0.431,0.35100000000000003,0.66,0.428,0.774
Jalen Graham,Jalen Graham,Arizona State,Arizona State,2020-21,129,0.552,0.5429999999999999,0.5429999999999999,0.6859999999999999,0.688,0.45,0.379,0.455,0.008,0,NA,0.33299999999999996,0.581
Kimani Lawrence,Kimani Lawrence,Arizona State,Arizona State,2020-21,144,0.547,0.524,0.604,0.701,0.754,0.354,0.255,0.615,0.042,0.16699999999999998,1,0.382,0.636
Marcus Bagley,Marcus Bagley,Arizona State,Arizona State,2020-21,99,0.53,0.51,0.172,0.647,0.545,0.141,0.35700000000000004,0.4,0.687,0.33799999999999997,1,0.182,0.722
Holland Woods,Holland Woods,Arizona State,Arizona State,2020-21,135,0.523,0.478,0.2,0.556,0.267,0.17,0.391,0.111,0.63,0.318,0.741,0.237,0.875
Josh Christopher,Josh Christopher,Arizona State,Arizona State,2020-21,166,0.536,0.494,0.265,0.727,0.344,0.40399999999999997,0.34299999999999997,0.13,0.331,0.327,0.722,0.295,0.7959999999999999
Jaelen House,Jaelen House,Arizona State,Arizona State,2020-21,101,0.523,0.51,0.257,0.615,0.25,0.168,0.059000000000000004,0,0.574,0.397,0.9570000000000001,0.129,0.6920000000000001
John Olmsted,John Olmsted,Arizona State,Arizona State,2020-21,4,0.508,0.5,0.75,0.667,1,0.25,0,NA,0,NA,NA,1,0.5
Alonzo Verge,Alonzo Verge Jr. ,Arizona State,Arizona State,2020-21,275,0.498,0.445,0.382,0.486,0.157,0.327,0.344,0.032,0.29100000000000004,0.33799999999999997,0.741,0.302,0.8190000000000001
Taeshon Cherry,Taeshon  Cherry,Arizona State,Arizona State,2020-21,21,0.381,0.381,0.14300000000000002,0.33299999999999996,0,0.048,1,1,0.81,0.235,1,0,NA
Ethan Henderson,Ethan Henderson,Arkansas,Arkansas,2020-21,14.000000000000002,0.6599999999999999,0.7140000000000001,0.857,0.833,0.7,0.14300000000000002,0,NA,0,NA,NA,0.28600000000000003,0.25
Khalen Robinson,Khalen Robinson,Arkansas,Arkansas,2020-21,20,0.546,0.5,0.2,0.75,0.33299999999999996,0.25,0.2,0,0.55,0.364,0.5,0.4,0.75
Jaylin Williams,Jaylin Williams,Arkansas,Arkansas,2020-21,69,0.5730000000000001,0.529,0.348,0.75,0.278,0.319,0.364,0.25,0.33299999999999996,0.304,1,0.449,0.742
Moses Moody,Moses Moody,Arkansas,Arkansas,2020-21,374,0.5630000000000001,0.49700000000000005,0.265,0.5760000000000001,0.316,0.31,0.38799999999999996,0.289,0.425,0.35200000000000004,0.857,0.47100000000000003,0.812
Justin Smith,Justin Smith,Arkansas,Arkansas,2020-21,278,0.582,0.57,0.665,0.6920000000000001,0.578,0.259,0.319,0.348,0.076,0.23800000000000002,0.8,0.317,0.625
Jalen Tate,Jalen Tate,Arkansas,Arkansas,2020-21,260,0.558,0.529,0.342,0.596,0.45299999999999996,0.377,0.48,0.255,0.281,0.342,0.8,0.331,0.7090000000000001
Connor Vanover,Connor Vanover,Arkansas,Arkansas,2020-21,149,0.541,0.51,0.376,0.643,0.667,0.14800000000000002,0.318,0.857,0.47700000000000004,0.31,0.955,0.141,0.9520000000000001
Desi Sills,Desi Sills,Arkansas,Arkansas,2020-21,187,0.54,0.511,0.524,0.541,0.45299999999999996,0.037000000000000005,0.28600000000000003,1,0.439,0.32899999999999996,0.889,0.353,0.682
JD Notae,JD Notae,Arkansas,Arkansas,2020-21,338,0.513,0.466,0.32799999999999996,0.505,0.179,0.18600000000000003,0.302,0.158,0.485,0.335,0.564,0.35200000000000004,0.7559999999999999
Davonte Davis,Davonte Davis,Arkansas,Arkansas,2020-21,229,0.507,0.48,0.441,0.584,0.33899999999999997,0.502,0.41700000000000004,0.22899999999999998,0.057,0.154,0.5,0.19699999999999998,0.7559999999999999
Vance Jackson,Vance Jackson,Arkansas,Arkansas,2020-21,90,0.512,0.506,0.233,0.47600000000000003,0.3,0.078,0.14300000000000002,0,0.6890000000000001,0.371,0.7829999999999999,0.156,0.5710000000000001
Dylan Cardwell,Dylan Cardwell,Auburn,Auburn,2020-21,61,0.693,0.713,0.8690000000000001,0.774,0.659,0.115,0.14300000000000002,0,0.016,1,0,0.45899999999999996,0.5710000000000001
Chris Moore,Chris Moore,Auburn,Auburn,2020-21,48,0.623,0.625,0.583,0.607,0.41200000000000003,0.10400000000000001,0.8,0.75,0.312,0.4,1,0.396,0.579
Jaylin Williams,Jaylin Williams,Auburn,Auburn,2020-21,224.00000000000003,0.597,0.589,0.36200000000000004,0.802,0.6920000000000001,0.21899999999999997,0.38799999999999996,0.263,0.42,0.34,0.812,0.21899999999999997,0.633
Allen Flanigan,Allen Flanigan,Auburn,Auburn,2020-21,268,0.588,0.537,0.321,0.6859999999999999,0.322,0.19399999999999998,0.365,0.053,0.485,0.33799999999999997,0.5,0.466,0.7759999999999999
Justin Powell,Justin Powell,Auburn,Auburn,2020-21,84,0.584,0.542,0.226,0.579,0.273,0.262,0.273,0.16699999999999998,0.512,0.442,0.737,0.405,0.765
JT Thor,JT Thor,Auburn,Auburn,2020-21,191,0.547,0.49700000000000005,0.361,0.609,0.405,0.251,0.41700000000000004,0.3,0.387,0.297,0.909,0.445,0.741
Sharife Cooper,Sharife Cooper,Auburn,Auburn,2020-21,184,0.519,0.42700000000000005,0.473,0.517,0.067,0.217,0.35,0,0.31,0.228,0.5379999999999999,0.56,0.825
Jamal Johnson,Jamal Johnson,Auburn,Auburn,2020-21,222.00000000000003,0.515,0.486,0.135,0.36700000000000005,0.364,0.16699999999999998,0.35100000000000003,0.385,0.698,0.361,0.875,0.23399999999999999,0.731
Devan Cambridge,Devan Cambridge,Auburn,Auburn,2020-21,229,0.479,0.465,0.275,0.619,0.6920000000000001,0.1,0.261,0.5,0.624,0.287,0.951,0.21,0.583
Babatunde Akingbola,Babatunde Akingbola,Auburn,Auburn,2020-21,44,0.464,0.489,0.75,0.545,0.778,0.159,0.28600000000000003,0.5,0.091,0.25,1,0.523,0.348
Javon Franklin,Javon Franklin,Auburn,Auburn,2020-21,28.999999999999996,0.4300000000000001,0.414,0.586,0.529,0.556,0.138,0,NA,0.276,0.25,0.5,0.345,0.5
Tyrell Jones,Tyrell Jones,Auburn,Auburn,2020-21,24,0.387,0.312,0.25,0.33299999999999996,0,0.20800000000000002,0.2,0,0.542,0.231,0,0.5,0.667
Zach Loveday,Zach Loveday,Baylor,Baylor,2020-21,17,0.741,0.735,0.588,1,0.8,0.294,0.2,1,0.11800000000000001,0.5,1,0.235,0.75
Davion Mitchell,Davion Mitchell,Baylor,Baylor,2020-21,309,0.619,0.613,0.34600000000000003,0.645,0.174,0.19699999999999998,0.426,0.077,0.456,0.447,0.603,0.21,0.6459999999999999
Adam Flagler,Adam Flagler,Baylor,Baylor,2020-21,185,0.615,0.578,0.13,0.667,0.562,0.297,0.4,0.273,0.573,0.434,0.8909999999999999,0.254,0.872
Jonathan Tchamwa Tchatchoua,Jonathan Tchamwa Tchatchoua,Baylor,Baylor,2020-21,132,0.608,0.5760000000000001,0.674,0.64,0.772,0.326,0.442,0.579,0,NA,NA,0.33299999999999996,0.773
Jared Butler,Jared Butler,Baylor,Baylor,2020-21,376,0.599,0.573,0.242,0.615,0.304,0.266,0.44,0.182,0.49200000000000005,0.41600000000000004,0.701,0.242,0.78
MaCio Teague,MaCio Teague,Baylor,Baylor,2020-21,368,0.588,0.56,0.245,0.622,0.5,0.342,0.47600000000000003,0.35,0.413,0.395,0.833,0.207,0.8290000000000001
Flo Thamba,Flo Thamba,Baylor,Baylor,2020-21,71,0.584,0.563,0.732,0.635,0.758,0.268,0.368,0.7140000000000001,0,NA,NA,0.662,0.617
Matthew Mayer,Matthew Mayer,Baylor,Baylor,2020-21,188,0.5750000000000001,0.569,0.324,0.672,0.488,0.271,0.41200000000000003,0.33299999999999996,0.40399999999999997,0.395,0.767,0.261,0.5920000000000001
LJ Cryer,LJ Cryer,Baylor,Baylor,2020-21,55.00000000000001,0.543,0.527,0.091,0.4,0.5,0.109,0.5,0.33299999999999996,0.8,0.364,0.875,0.255,0.643
Mark Vital,Mark Vital,Baylor,Baylor,2020-21,145,0.48900000000000005,0.483,0.586,0.647,0.636,0.37200000000000005,0.278,0.6,0.040999999999999995,0,NA,0.37200000000000005,0.5
Jordan Turner,Jordan Turner,Baylor,Baylor,2020-21,19,0.45799999999999996,0.395,0.158,0,NA,0.42100000000000004,0,NA,0.42100000000000004,0.625,1,0.316,0.833
Rich Kelly,Rich Kelly,Boston College,Boston College,2020-21,135,0.559,0.53,0.289,0.615,0.16699999999999998,0.10400000000000001,0.28600000000000003,0,0.607,0.354,0.7929999999999999,0.17,0.87
Steffon Mitchell,Steffon Mitchell,Boston College,Boston College,2020-21,101,0.562,0.535,0.426,0.6509999999999999,0.35700000000000004,0.109,0.455,0,0.465,0.298,1,0.455,0.652
CJ Felder,CJ Felder,Boston College,Boston College,2020-21,131,0.562,0.5529999999999999,0.41200000000000003,0.685,0.595,0.099,0.308,0.5,0.489,0.32799999999999996,0.9520000000000001,0.298,0.59
Wynston Tabbs,Wynston Tabbs,Boston College,Boston College,2020-21,121,0.54,0.5,0.215,0.5770000000000001,0,0.248,0.267,0.125,0.537,0.385,0.56,0.281,0.794
Jay Heath,Jay Heath,Boston College,Boston College,2020-21,229,0.501,0.48,0.284,0.585,0.105,0.262,0.35,0.048,0.45399999999999996,0.327,0.6759999999999999,0.122,0.821
James Karnik,James Karnik,Boston College,Boston College,2020-21,73,0.518,0.473,0.6579999999999999,0.562,0.33299999999999996,0.17800000000000002,0.231,1,0.16399999999999998,0.25,1,0.315,0.7829999999999999
DeMarr Langford Jr.,DeMarr Langford,Boston College,Boston College,2020-21,85,0.515,0.447,0.565,0.521,0.32,0.259,0.318,0.14300000000000002,0.17600000000000002,0.267,1,0.541,0.7390000000000001
Makai Ashton-Langford,Makai Ashton-Langford,Boston College,Boston College,2020-21,104,0.508,0.462,0.40399999999999997,0.643,0.111,0.183,0.316,0,0.413,0.233,0.8,0.365,0.737
Frederick Scott,Frederick Scott,Boston College,Boston College,2020-21,37,0.5670000000000001,0.5539999999999999,0.35100000000000003,0.5379999999999999,0.28600000000000003,0.18899999999999997,0.429,0.33299999999999996,0.45899999999999996,0.41200000000000003,0.5710000000000001,0.405,0.6
Kamari Williams,Kamari Williams,Boston College,Boston College,2020-21,35,0.48800000000000004,0.486,0.14300000000000002,0.4,0,0.114,0.75,0,0.743,0.308,0.875,0.114,0.5
JaKobe Coles,JaKobe Coles,Butler,Butler,2020-21,22,0.6859999999999999,0.682,0.455,0.8,0.25,0.22699999999999998,0.8,0,0.318,0.28600000000000003,1,0.545,0.667
Chuck Harris,Chuck Harris,Butler,Butler,2020-21,257,0.537,0.494,0.28,0.45799999999999996,0.212,0.257,0.33299999999999996,0.045,0.46299999999999997,0.40299999999999997,0.8540000000000001,0.261,0.836
Bryce Golden,Bryce Golden,Butler,Butler,2020-21,206.99999999999997,0.532,0.493,0.527,0.633,0.71,0.285,0.35600000000000004,0.5710000000000001,0.188,0.205,1,0.275,0.789
Aaron Thompson,Aaron Thompson,Butler,Butler,2020-21,112.00000000000001,0.529,0.522,0.562,0.667,0.14300000000000002,0.39299999999999996,0.341,0.133,0.045,0.2,1,0.491,0.527
Bryce Nze,Bryce Nze,Butler,Butler,2020-21,206.99999999999997,0.528,0.534,0.6759999999999999,0.5429999999999999,0.48700000000000004,0.11599999999999999,0.25,0,0.20800000000000002,0.442,0.9470000000000001,0.42,0.47100000000000003
John-Michael Mulloy,John-Michael Mulloy,Butler,Butler,2020-21,5,0.507,0.6,1,0.6,0.33299999999999996,0,NA,NA,0,NA,NA,0.8,0.25
Christian David,Christian David,Butler,Butler,2020-21,20,0.5,0.5,0.05,1,0,0.05,0,NA,0.9,0.33299999999999996,1,0,NA
Jair Bolden,Jair Bolden,Butler,Butler,2020-21,252,0.48400000000000004,0.462,0.012,0.33299999999999996,0,0.302,0.355,0.29600000000000004,0.687,0.341,0.898,0.163,0.732
Myles Wilmoth,Myles Wilmoth,Butler,Butler,2020-21,38,0.464,0.447,0.368,0.7140000000000001,0.7,0.184,0.14300000000000002,1,0.447,0.235,1,0.342,0.5379999999999999
Myles Tate,Myles Tate,Butler,Butler,2020-21,173,0.42900000000000005,0.384,0.20199999999999999,0.5710000000000001,0.05,0.272,0.319,0.133,0.526,0.231,0.7140000000000001,0.27699999999999997,0.7290000000000001
Bo Hodges,Bo Hodges,Butler,Butler,2020-21,79,0.409,0.39899999999999997,0.392,0.419,0.385,0.266,0.23800000000000002,0,0.342,0.33299999999999996,0.889,0.304,0.45799999999999996
Markeese Hastings,Markeese Hastings,Butler,Butler,2020-21,13,0.14300000000000002,0.077,0.308,0.25,1,0,NA,NA,0.6920000000000001,0,NA,0.154,1
Dimitrios Klonaras,Dimitrios Klonaras,University of California,University of California,2020-21,8,0.691,0.688,0.375,1,1,0.25,0.5,0,0.375,0.33299999999999996,1,0.75,0.667
D.J. Thorpe,D.J. Thorpe,University of California,University of California,2020-21,20,0.603,0.55,0.75,0.6,0.667,0.25,0.4,0.5,0,NA,NA,0.6,0.75
Andre Kelly,Andre Kelly,University of California,University of California,2020-21,200.99999999999997,0.594,0.5870000000000001,0.507,0.6759999999999999,0.623,0.478,0.51,0.551,0.015,0,NA,0.522,0.59
Lars Thiemann,Lars Thiemann,University of California,University of California,2020-21,48,0.588,0.604,0.75,0.6940000000000001,0.64,0.25,0.33299999999999996,0.5,0,NA,NA,0.917,0.523
Matt Bradley,Matt Bradley,University of California,University of California,2020-21,286,0.58,0.524,0.308,0.568,0.26,0.308,0.455,0.3,0.385,0.364,0.5,0.409,0.821
Jalen Celestine,Jalen Celestine,University of California,University of California,2020-21,51,0.556,0.529,0.255,0.615,0.375,0.17600000000000002,0.111,1,0.569,0.414,0.833,0.196,0.8
Kuany Kuany,Kuany Kuany,University of California,University of California,2020-21,42,0.525,0.46399999999999997,0.5,0.619,0.615,0.14300000000000002,0.33299999999999996,0.5,0.35700000000000004,0.2,1,0.81,0.647
Joel Brown,Joel Brown,University of California,University of California,2020-21,114.99999999999999,0.523,0.522,0.626,0.542,0.231,0.10400000000000001,0.25,0.33299999999999996,0.27,0.387,0.833,0.452,0.5
Grant Anticevich,Grant Anticevich,University of California,University of California,2020-21,206,0.506,0.48100000000000004,0.131,0.667,0.278,0.47100000000000003,0.371,0.278,0.39799999999999996,0.366,0.9329999999999999,0.136,0.857
Ryan Betley,Ryan Betley,University of California,University of California,2020-21,229,0.496,0.467,0.153,0.457,0.375,0.153,0.371,0.462,0.6940000000000001,0.327,0.904,0.175,0.8
Makale Foreman,Makale Foreman,University of California,University of California,2020-21,199,0.481,0.442,0.06,0.33299999999999996,0.25,0.24100000000000002,0.375,0.278,0.698,0.317,0.568,0.191,0.868
Jarred Hyder,Jarred Hyder,University of California,University of California,2020-21,104,0.465,0.413,0.308,0.688,0.182,0.26899999999999996,0.214,0,0.423,0.22699999999999998,0.7,0.375,0.718
Monty Bowser,Monty Bowser,University of California,University of California,2020-21,19,0.34299999999999997,0.316,0.368,0.7140000000000001,0.4,0.368,0.14300000000000002,1,0.263,0,NA,0.158,0.667
Brandon Mahan,Brandon Mahan,Central Florida,Central Florida,2020-21,180,0.615,0.5579999999999999,0.294,0.528,0.179,0.21100000000000002,0.368,0.14300000000000002,0.494,0.43799999999999994,0.564,0.35600000000000004,0.9059999999999999
Avery Diggs,Avery Diggs,Central Florida,Central Florida,2020-21,36,0.601,0.597,0.47200000000000003,0.8240000000000001,0.5710000000000001,0.47200000000000003,0.353,1,0.055999999999999994,0.5,1,0.083,0.667
Darius Perry,Darius Perry,Central Florida,Central Florida,2020-21,220.00000000000003,0.555,0.505,0.282,0.435,0.29600000000000004,0.195,0.419,0,0.523,0.38299999999999995,0.636,0.3,0.8640000000000001
Jamille Reynolds,Jamille Reynolds,Central Florida,Central Florida,2020-21,76,0.54,0.48700000000000004,0.632,0.604,0.379,0.355,0.29600000000000004,0.625,0.013000000000000001,0,NA,0.461,0.743
Isaiah Adams,Isaiah Adams,Central Florida,Central Florida,2020-21,178,0.533,0.528,0.376,0.701,0.36200000000000004,0.258,0.304,0.429,0.365,0.33799999999999997,1,0.303,0.537
Darin Green,Green Darin,Central Florida,Central Florida,2020-21,242,0.519,0.51,0.10300000000000001,0.68,0.353,0.289,0.386,0.40700000000000003,0.607,0.361,0.887,0.07400000000000001,0.722
Dre Fuller,Fuller Dre,Central Florida,Central Florida,2020-21,133,0.494,0.444,0.436,0.569,0.39399999999999996,0.28600000000000003,0.368,0.35700000000000004,0.278,0.21600000000000003,0.75,0.45899999999999996,0.6890000000000001
C.J. Walker,C.J. Walker,Central Florida,Central Florida,2020-21,124,0.48200000000000004,0.452,0.46799999999999997,0.7070000000000001,0.634,0.419,0.231,0.583,0.113,0.14300000000000002,1,0.5,0.581
Sean Mobley,Sean Mobley,Central Florida,Central Florida,2020-21,61,0.47600000000000003,0.418,0.344,0.47600000000000003,0.3,0.18,0.182,0.5,0.475,0.31,1,0.361,0.773
Zach Harvey,Zach Harvey,Cincinnati,Cincinnati,2020-21,54,0.611,0.602,0.33299999999999996,0.778,0.429,0.222,0.16699999999999998,0,0.444,0.45799999999999996,0.818,0.35200000000000004,0.632
Jeremiah Davenport,Jeremiah Davenport,Cincinnati,Cincinnati,2020-21,210,0.591,0.5710000000000001,0.243,0.608,0.32299999999999995,0.152,0.531,0.529,0.605,0.37799999999999995,0.938,0.18600000000000003,0.769
Rapolas Ivanauskas,Rapolas Ivanauskas,Cincinnati,Cincinnati,2020-21,38,0.539,0.526,0.342,0.846,0.727,0.21100000000000002,0.375,0.33299999999999996,0.447,0.235,1,0.158,0.667
Mika Adams-Woods,Mika Adams-Woods,Cincinnati,Cincinnati,2020-21,161,0.526,0.46299999999999997,0.466,0.493,0.405,0.081,0.231,0.667,0.45299999999999996,0.315,1,0.342,0.873
Mason Madsen,Mason Madsen,Cincinnati,Cincinnati,2020-21,82,0.525,0.506,0.171,0.5,0.857,0.11,0.667,1,0.72,0.322,1,0.268,0.636
Chris Vogt,Chris Vogt,Cincinnati,Cincinnati,2020-21,84,0.513,0.56,0.631,0.642,0.8240000000000001,0.369,0.419,1,0,NA,NA,0.679,0.35100000000000003
Tari Eason,Tari Eason,Cincinnati,Cincinnati,2020-21,146,0.49899999999999994,0.483,0.61,0.584,0.7120000000000001,0.192,0.28600000000000003,0.75,0.19899999999999998,0.24100000000000002,0.857,0.322,0.574
Mamoudou Diarra,Mamoudou Diarra,Cincinnati,Cincinnati,2020-21,31,0.48900000000000005,0.484,0.29,0.667,0.33299999999999996,0.419,0.231,0.667,0.29,0.444,1,0.258,0.5
Mike Saunders,Saunders Mike,Cincinnati,Cincinnati,2020-21,67,0.48600000000000004,0.425,0.522,0.5429999999999999,0.263,0.134,0.222,0.5,0.34299999999999997,0.217,1,0.418,0.75
Keith Williams,Keith Williams,Cincinnati,Cincinnati,2020-21,284,0.483,0.442,0.43,0.59,0.361,0.289,0.195,0.375,0.282,0.312,0.64,0.426,0.653
David Dejulius,David DeJulius,Cincinnati,Cincinnati,2020-21,175,0.44600000000000006,0.406,0.257,0.5329999999999999,0.33299999999999996,0.29100000000000004,0.451,0.043,0.451,0.203,0.625,0.22899999999999998,0.775
Aamir Simms,Aamir Simms,Clemson,Clemson,2020-21,233,0.612,0.579,0.37799999999999995,0.682,0.483,0.386,0.467,0.381,0.23600000000000002,0.4,0.909,0.27,0.825
Hunter Tyson,Hunter Tyson,Clemson,Clemson,2020-21,101,0.608,0.574,0.287,0.552,0.688,0.20800000000000002,0.429,0.444,0.505,0.431,0.955,0.34700000000000003,0.7709999999999999
Alex Hemenway,Alex Hemenway,Clemson,Clemson,2020-21,86,0.592,0.5579999999999999,0.105,0.556,0.6,0.174,0.467,0.5710000000000001,0.721,0.387,1,0.209,0.889
Al-Amir Dawes,Al-Amir Dawes,Clemson,Clemson,2020-21,178,0.56,0.542,0.18,0.625,0.25,0.20800000000000002,0.324,0.25,0.612,0.39399999999999996,0.674,0.174,0.742
PJ Hall,PJ Hall,Clemson,Clemson,2020-21,61,0.539,0.508,0.24600000000000002,0.867,0.615,0.508,0.484,0.467,0.24600000000000002,0.133,1,0.262,0.75
Nick Honor,Nick Honor,Clemson,Clemson,2020-21,176,0.522,0.506,0.14800000000000002,0.5770000000000001,0,0.233,0.341,0.28600000000000003,0.619,0.36700000000000005,0.75,0.131,0.7390000000000001
Clyde Trapp,Clyde Trapp,Clemson,Clemson,2020-21,155,0.501,0.484,0.439,0.529,0.306,0.19399999999999998,0.3,0.33299999999999996,0.368,0.35100000000000003,0.75,0.252,0.615
Jonathan Baehre,Jonathan Baehre,Clemson,Clemson,2020-21,92,0.49100000000000005,0.435,0.413,0.579,0.636,0.272,0.24,0.667,0.315,0.276,1,0.293,0.852
Olivier-Maxence Prosper,Olivier-Maxence Prosper,Clemson,Clemson,2020-21,52,0.4320000000000001,0.375,0.5,0.5379999999999999,0.5710000000000001,0.154,0.125,0,0.34600000000000003,0.16699999999999998,1,0.423,0.682
John Newman,John Newman III,Clemson,Clemson,2020-21,91,0.42200000000000004,0.385,0.33,0.5670000000000001,0.41200000000000003,0.319,0.207,0.33299999999999996,0.35200000000000004,0.25,0.875,0.14300000000000002,0.9229999999999999
Chase Hunter,Chase Hunter,Clemson,Clemson,2020-21,90,0.361,0.33899999999999997,0.133,0.33299999999999996,0.25,0.478,0.442,0.21100000000000002,0.389,0.14300000000000002,0.8,0.133,0.667
Dallas Walton,Dallas Walton,Colorado,Colorado,2020-21,100,0.659,0.595,0.32,0.688,0.591,0.49,0.49,0.625,0.19,0.474,0.778,0.58,0.845
Jabari Walker,Jabari Walker,Colorado,Colorado,2020-21,133,0.641,0.613,0.534,0.62,0.523,0.135,0.16699999999999998,0.33299999999999996,0.331,0.523,0.9570000000000001,0.33799999999999997,0.778
Eli Parquet,Eli Parquet,Colorado,Colorado,2020-21,124,0.602,0.569,0.315,0.6920000000000001,0.519,0.242,0.3,0.222,0.444,0.418,0.87,0.19399999999999998,0.917
Jeriah Horne,Jeriah Horne,Colorado,Colorado,2020-21,270,0.586,0.552,0.215,0.638,0.541,0.3,0.42,0.441,0.485,0.397,0.885,0.196,0.9059999999999999
Evan Battey,Evan Battey,Colorado,Colorado,2020-21,217,0.582,0.502,0.627,0.603,0.524,0.295,0.375,0.375,0.078,0.11800000000000001,1,0.581,0.825
Tristan Da Silva,Tristan da Silva,Colorado,Colorado,2020-21,51,0.5730000000000001,0.569,0.451,0.609,0.5710000000000001,0.255,0.6920000000000001,0.667,0.294,0.267,1,0.235,0.583
