player,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team,hoop_math_input,school,sref_player_name,hoop_math_school
Ty Berry,92,0.539,0.527,0.163,0.6,0.778,0.152,0.35700000000000004,0.4,0.685,0.365,0.87,0.272,0.6,2020-21,Northwestern,Northwestern,Northwestern,Ty Berry,Northwestern
Anthony Gaines,74,0.533,0.493,0.35100000000000003,0.654,0.529,0.297,0.273,0.16699999999999998,0.35100000000000003,0.34600000000000003,1,0.405,0.7,2020-21,Northwestern,Northwestern,Northwestern,Anthony Gaines,Northwestern
Ryan Greer,48,0.608,0.583,0.312,0.6,0.444,0.33299999999999996,0.43799999999999994,0.429,0.354,0.47100000000000003,1,0.16699999999999998,0.875,2020-21,Northwestern,Northwestern,Northwestern,Ryan Greer,Northwestern
Prentiss Hubb,342,0.512,0.48700000000000004,0.266,0.5489999999999999,0.14,0.17800000000000002,0.311,0.158,0.556,0.342,0.508,0.17300000000000001,0.78,2020-21,NotreDame,NotreDame,Notre Dame,Prentiss Hubb,Notre Dame
Dane Goodwin,254.99999999999997,0.545,0.506,0.263,0.642,0.488,0.314,0.36200000000000004,0.207,0.424,0.35200000000000004,0.9209999999999999,0.22699999999999998,0.862,2020-21,NotreDame,NotreDame,Notre Dame,Dane Goodwin,Notre Dame
Cormac Ryan,217,0.52,0.486,0.207,0.622,0.35700000000000004,0.217,0.27699999999999997,0.154,0.5760000000000001,0.344,0.86,0.207,0.8220000000000001,2020-21,NotreDame,NotreDame,Notre Dame,Cormac Ryan,Notre Dame
Nate Laszewski,202,0.691,0.6779999999999999,0.406,0.805,0.667,0.183,0.45899999999999996,0.235,0.41100000000000003,0.434,0.972,0.495,0.71,2020-21,NotreDame,NotreDame,Notre Dame,Nate Laszewski,Notre Dame
Juwan Durham,196,0.619,0.602,0.5710000000000001,0.741,0.6990000000000001,0.413,0.43200000000000005,0.28600000000000003,0.015,0,NA,0.306,0.7,2020-21,NotreDame,NotreDame,Notre Dame,Juwan Durham,Notre Dame
Trey Wertz,146,0.546,0.517,0.28800000000000003,0.405,0.059000000000000004,0.185,0.33299999999999996,0.222,0.527,0.429,0.7879999999999999,0.192,0.821,2020-21,NotreDame,NotreDame,Notre Dame,Trey Wertz,Notre Dame
Nikola Djogo,76,0.692,0.6579999999999999,0.395,0.767,0.565,0.026000000000000002,0,NA,0.579,0.409,0.9440000000000001,0.316,0.875,2020-21,NotreDame,NotreDame,Notre Dame,Nikola Djogo,Notre Dame
Washington Duane,417,0.551,0.517,0.21600000000000003,0.511,0.13,0.213,0.40399999999999997,0.083,0.5710000000000001,0.374,0.618,0.218,0.835,2020-21,OhioSt.,OhioSt.,Ohio State,Duane Washington,Ohio State
E.J.  Liddell,333,0.5670000000000001,0.515,0.267,0.674,0.7,0.49200000000000005,0.433,0.324,0.24,0.33799999999999997,0.889,0.508,0.746,2020-21,OhioSt.,OhioSt.,Ohio State,E.J. Liddell,Ohio State
Justice Sueing,222.00000000000003,0.593,0.541,0.35100000000000003,0.667,0.192,0.374,0.42200000000000004,0.14300000000000002,0.275,0.361,0.773,0.5589999999999999,0.75,2020-21,OhioSt.,OhioSt.,Ohio State,Justice Sueing,Ohio State
CJ Walker,200,0.534,0.442,0.375,0.52,0.10300000000000001,0.38,0.395,0.1,0.245,0.265,0.5379999999999999,0.42,0.94,2020-21,OhioSt.,OhioSt.,Ohio State,CJ Walker,Ohio State
Kyle Young,162,0.624,0.583,0.469,0.618,0.596,0.34600000000000003,0.5,0.429,0.185,0.433,0.9229999999999999,0.321,0.846,2020-21,OhioSt.,OhioSt.,Ohio State,Kyle Young,Ohio State
Justin Ahrens,134,0.638,0.634,0.03,0.5,0.5,0.022000000000000002,0.667,0.5,0.948,0.425,0.87,0.075,0.7,2020-21,OhioSt.,OhioSt.,Ohio State,Justin Ahrens,Ohio State
Zed Key,99,0.607,0.616,0.505,0.68,0.5589999999999999,0.495,0.551,0.556,0,NA,NA,0.7170000000000001,0.5489999999999999,2020-21,OhioSt.,OhioSt.,Ohio State,Zed Key,Ohio State
Seth Towns,76,0.556,0.52,0.132,0.4,0,0.289,0.591,0.231,0.579,0.341,0.8,0.237,0.833,2020-21,OhioSt.,OhioSt.,Ohio State,Seth Towns,Ohio State
Musa Jallow,61,0.528,0.516,0.475,0.69,0.7,0.23,0.7140000000000001,0.7,0.295,0.055999999999999994,1,0.377,0.565,2020-21,OhioSt.,OhioSt.,Ohio State,Musa Jallow,Ohio State
Eugene Brown III,37,0.45000000000000007,0.446,0.18899999999999997,0.5710000000000001,0.5,0.135,0.4,0.5,0.6759999999999999,0.28,1,0.10800000000000001,0.5,2020-21,OhioSt.,OhioSt.,Ohio State,Eugene Brown,Ohio State
Myreon Jones,322,0.525,0.488,0.177,0.526,0.5670000000000001,0.35100000000000003,0.327,0.162,0.47200000000000003,0.395,0.8,0.273,0.773,2020-21,PennSt.,PennSt.,Penn State,Myreon Jones,Penn State
Izaiah Brockington,272,0.507,0.452,0.382,0.5379999999999999,0.321,0.46,0.392,0.36700000000000005,0.158,0.27899999999999997,1,0.301,0.841,2020-21,PennSt.,PennSt.,Penn State,Izaiah Brockington,Penn State
Seth Lundy,225.99999999999997,0.506,0.47100000000000003,0.212,0.542,0.385,0.248,0.39299999999999996,0.136,0.54,0.32,0.846,0.212,0.812,2020-21,PennSt.,PennSt.,Penn State,Seth Lundy,Penn State
Sam Sessoms,191,0.47400000000000003,0.45,0.424,0.58,0.085,0.27699999999999997,0.28300000000000003,0.067,0.298,0.281,0.5,0.183,0.7140000000000001,2020-21,PennSt.,PennSt.,Penn State,Sam Sessoms,Penn State
Myles Dread,156,0.517,0.503,0.045,0.5710000000000001,0.5,0.122,0.368,0.28600000000000003,0.833,0.34600000000000003,0.889,0.10300000000000001,0.75,2020-21,PennSt.,PennSt.,Penn State,Myles Dread,Penn State
Jamari Wheeler,148,0.516,0.5,0.358,0.491,0.192,0.07400000000000001,0.273,0,0.568,0.35700000000000004,0.867,0.23600000000000002,0.629,2020-21,PennSt.,PennSt.,Penn State,Jamari Wheeler,Penn State
John Harrar,133,0.597,0.5489999999999999,0.624,0.675,0.46399999999999997,0.368,0.34700000000000003,0.647,0.008,0,NA,0.797,0.6890000000000001,2020-21,PennSt.,PennSt.,Penn State,John Harrar,Penn State
Trent Buttrick,66,0.534,0.515,0.258,0.588,0.7,0.045,0,NA,0.6970000000000001,0.348,1,0.16699999999999998,0.727,2020-21,PennSt.,PennSt.,Penn State,Trent Buttrick,Penn State
Justin Champagnie,281,0.55,0.518,0.452,0.6459999999999999,0.561,0.285,0.36200000000000004,0.69,0.263,0.311,0.9570000000000001,0.345,0.711,2020-21,Pittsburgh,Pittsburgh,Pittsburgh,Justin Champagnie,Pittsburgh
Ithiel Horton,189,0.503,0.495,0.085,0.688,0.636,0.302,0.316,0.389,0.614,0.371,0.93,0.063,0.75,2020-21,Pittsburgh,Pittsburgh,Pittsburgh,Ithiel Horton,Pittsburgh
Xavier Johnson,188,0.554,0.49200000000000005,0.426,0.562,0.17800000000000002,0.16,0.33299999999999996,0.1,0.415,0.321,0.56,0.473,0.787,2020-21,Pittsburgh,Pittsburgh,Pittsburgh,Xavier Johnson,Pittsburgh
Au'Diese Toney,166,0.555,0.518,0.45799999999999996,0.539,0.634,0.223,0.486,0.33299999999999996,0.319,0.34,1,0.524,0.667,2020-21,Pittsburgh,Pittsburgh,Pittsburgh,Au'Diese Toney,Pittsburgh
Femi Odukale,110.00000000000001,0.505,0.5,0.455,0.56,0.179,0.327,0.41700000000000004,0.267,0.218,0.33299999999999996,0.875,0.664,0.493,2020-21,Pittsburgh,Pittsburgh,Pittsburgh,Femi Odukale,Pittsburgh
Abdoul Karim Coulibaly,90,0.549,0.522,0.778,0.557,0.59,0.156,0.35700000000000004,0.8,0.067,0.33299999999999996,0.5,0.322,0.69,2020-21,Pittsburgh,Pittsburgh,Pittsburgh,Karim Coulibaly,Pittsburgh
Nike Sibande,82,0.527,0.518,0.28,0.435,0.4,0.244,0.35,0.14300000000000002,0.47600000000000003,0.436,0.529,0.256,0.5710000000000001,2020-21,Pittsburgh,Pittsburgh,Pittsburgh,Nike Sibande,Pittsburgh
William Jeffress,56.99999999999999,0.302,0.254,0.281,0.312,0.2,0.368,0.23800000000000002,0.4,0.35100000000000003,0.15,1,0.281,0.625,2020-21,Pittsburgh,Pittsburgh,Pittsburgh,William Jeffress,Pittsburgh
Terrell Brown,46,0.4730000000000001,0.435,0.7170000000000001,0.515,0.8240000000000001,0.28300000000000003,0.231,0.667,0,NA,NA,0.457,0.619,2020-21,Pittsburgh,Pittsburgh,Pittsburgh,Terrell Brown,Pittsburgh
John Hugley,38,0.42100000000000004,0.395,0.6579999999999999,0.56,0.643,0.289,0.091,1,0.053,0,NA,0.263,0.6,2020-21,Pittsburgh,Pittsburgh,Pittsburgh,John Hugley,Pittsburgh
Trevion Williams,364,0.525,0.525,0.467,0.5820000000000001,0.475,0.525,0.48200000000000004,0.28300000000000003,0.008,0,NA,0.29100000000000004,0.5,2020-21,Purdue,Purdue,Purdue,Trevion Williams,Purdue
Jaden Ivey,223,0.49699999999999994,0.455,0.368,0.622,0.196,0.19699999999999998,0.295,0.077,0.435,0.258,0.84,0.327,0.726,2020-21,Purdue,Purdue,Purdue,Jaden Ivey,Purdue
Brandon Newman,196,0.533,0.49700000000000005,0.21899999999999997,0.512,0.364,0.255,0.34,0.294,0.526,0.379,0.821,0.163,0.938,2020-21,Purdue,Purdue,Purdue,Brandon Newman,Purdue
Sasha Stefanovic,161,0.617,0.5710000000000001,0.099,0.562,0.556,0.124,0.4,0.375,0.7759999999999999,0.4,0.94,0.354,0.8420000000000001,2020-21,Purdue,Purdue,Purdue,Sasha Stefanovic,Purdue
Zach Edey,149,0.632,0.597,0.517,0.74,0.667,0.483,0.444,0.812,0,NA,NA,0.611,0.7140000000000001,2020-21,Purdue,Purdue,Purdue,Zach Edey,Purdue
Aaron Wheeler,100,0.48700000000000004,0.475,0.33,0.636,0.5710000000000001,0.03,0.33299999999999996,1,0.64,0.266,0.8240000000000001,0.23,0.565,2020-21,Purdue,Purdue,Purdue,Aaron Wheeler,Purdue
Mason Gillis,99,0.611,0.561,0.354,0.7140000000000001,0.6,0.10099999999999999,0.2,0,0.545,0.35200000000000004,0.895,0.434,0.8140000000000001,2020-21,Purdue,Purdue,Purdue,Mason Gillis,Purdue
Isaiah Thompson,85,0.584,0.547,0.11800000000000001,0.6,0.16699999999999998,0.2,0.353,0.5,0.682,0.397,0.826,0.376,0.75,2020-21,Purdue,Purdue,Purdue,Isaiah Thompson,Purdue
Carson Barrett,0,0.526,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2020-21,Purdue,Purdue,Purdue,Eric Hunter,Purdue
Harper Ron,331,0.539,0.509,0.32,0.642,0.456,0.242,0.41200000000000003,0.182,0.43799999999999994,0.31,0.978,0.263,0.736,2020-21,Rutgers,Rutgers,Rutgers,Ron Harper,Rutgers
Jacob Young,324,0.544,0.517,0.441,0.608,0.276,0.299,0.35100000000000003,0,0.259,0.369,0.581,0.259,0.726,2020-21,Rutgers,Rutgers,Rutgers,Jacob Young,Rutgers
Geo Baker,242,0.503,0.486,0.165,0.55,0.136,0.331,0.5,0.125,0.504,0.303,0.838,0.132,0.75,2020-21,Rutgers,Rutgers,Rutgers,Geo Baker,Rutgers
Montez Mathis,222.00000000000003,0.45399999999999996,0.43200000000000005,0.45899999999999996,0.49,0.46,0.207,0.28300000000000003,0.462,0.33299999999999996,0.297,0.955,0.306,0.574,2020-21,Rutgers,Rutgers,Rutgers,Montez Mathis,Rutgers
Myles Johnson,156,0.601,0.628,0.718,0.732,0.6709999999999999,0.282,0.364,0.5,0,NA,NA,0.397,0.435,2020-21,Rutgers,Rutgers,Rutgers,Myles Johnson,Rutgers
Caleb McConnell,139,0.384,0.353,0.209,0.483,0.35700000000000004,0.439,0.32799999999999996,0.15,0.353,0.204,0.8,0.14400000000000002,0.8,2020-21,Rutgers,Rutgers,Rutgers,Caleb McConnell,Rutgers
Paul Mulcahy,121,0.589,0.57,0.42100000000000004,0.627,0.562,0.11599999999999999,0.28600000000000003,0.5,0.46299999999999997,0.39299999999999996,1,0.331,0.675,2020-21,Rutgers,Rutgers,Rutgers,Paul Mulcahy,Rutgers
Clifford Omoruyi,56.99999999999999,0.599,0.64,0.772,0.705,0.903,0.193,0.364,0.75,0.035,0.5,1,0.579,0.424,2020-21,Rutgers,Rutgers,Rutgers,Clifford Omoruyi,Rutgers
Buddy Boeheim,374,0.559,0.536,0.086,0.562,0.5,0.37200000000000005,0.48200000000000004,0.239,0.5429999999999999,0.379,0.857,0.142,0.8490000000000001,2020-21,Syracuse,Syracuse,Syracuse,Buddy Boeheim,Syracuse
Alan Griffin,305,0.556,0.52,0.19699999999999998,0.7170000000000001,0.465,0.285,0.379,0.364,0.518,0.348,0.782,0.187,0.912,2020-21,Syracuse,Syracuse,Syracuse,Alan Griffin,Syracuse
Quincy Guerrier,296,0.557,0.532,0.557,0.624,0.5920000000000001,0.19899999999999998,0.33899999999999997,0.25,0.243,0.319,0.9570000000000001,0.341,0.6729999999999999,2020-21,Syracuse,Syracuse,Syracuse,Quincy Guerrier,Syracuse
Joseph Girard III,258,0.48400000000000004,0.45299999999999996,0.124,0.43799999999999994,0.28600000000000003,0.295,0.368,0.107,0.581,0.33299999999999996,0.62,0.19399999999999998,0.78,2020-21,Syracuse,Syracuse,Syracuse,Joseph Girard,Syracuse
Marek Dolezaj,172,0.619,0.541,0.395,0.735,0.58,0.593,0.42200000000000004,0.6509999999999999,0.012,0,NA,0.593,0.853,2020-21,Syracuse,Syracuse,Syracuse,Marek Dolezaj,Syracuse
Kadary Richmond,141,0.527,0.48200000000000004,0.40399999999999997,0.596,0.08800000000000001,0.44,0.355,0.091,0.156,0.364,0.875,0.418,0.7120000000000001,2020-21,Syracuse,Syracuse,Syracuse,Kadary Richmond,Syracuse
Robert Braswell,79,0.514,0.475,0.165,0.769,0.7,0.10099999999999999,0.25,1,0.7340000000000001,0.293,0.882,0.228,0.833,2020-21,Syracuse,Syracuse,Syracuse,Robert Braswell,Syracuse
Sam Hauser,292,0.635,0.611,0.13,0.684,0.34600000000000003,0.353,0.563,0.32799999999999996,0.517,0.41700000000000004,0.873,0.16399999999999998,0.8959999999999999,2020-21,Virginia,Virginia,Virginia,Sam Hauser,Virginia
Jay Huff,217,0.6739999999999999,0.652,0.447,0.8140000000000001,0.506,0.207,0.42200000000000004,0.368,0.34600000000000003,0.387,0.9309999999999999,0.226,0.8370000000000001,2020-21,Virginia,Virginia,Virginia,Jay Huff,Virginia
Kihei Clark,206.99999999999997,0.49899999999999994,0.45899999999999996,0.391,0.531,0.09300000000000001,0.309,0.344,0.136,0.3,0.32299999999999995,0.8,0.309,0.7340000000000001,2020-21,Virginia,Virginia,Virginia,Kihei Clark,Virginia
Trey Murphy III,191,0.6699999999999999,0.639,0.24100000000000002,0.696,0.7190000000000001,0.131,0.48,0.25,0.628,0.433,0.904,0.215,0.927,2020-21,Virginia,Virginia,Virginia,Trey Murphy,Virginia
Reece Beekman,110.00000000000001,0.4690000000000001,0.423,0.527,0.5,0.31,0.136,0.267,0.25,0.336,0.243,0.778,0.3,0.758,2020-21,Virginia,Virginia,Virginia,Reece Beekman,Virginia
Casey Morsell,106,0.45399999999999996,0.44299999999999995,0.302,0.5,0.375,0.34,0.444,0.062,0.358,0.263,0.9,0.10400000000000001,0.636,2020-21,Virginia,Virginia,Virginia,Casey Morsell,Virginia
Tomas Woldetensae,78,0.583,0.5579999999999999,0.09,0.5710000000000001,0.25,0.205,0.312,0.2,0.705,0.418,0.826,0.141,0.909,2020-21,Virginia,Virginia,Virginia,Thomas Woldetensae,Virginia
Justin McKoy,57.99999999999999,0.534,0.509,0.534,0.581,0.444,0.31,0.389,0.5710000000000001,0.155,0.33299999999999996,1,0.172,0.8,2020-21,Virginia,Virginia,Virginia,Justin McKoy,Virginia
Keve Aluma,229.99999999999997,0.5760000000000001,0.535,0.461,0.585,0.532,0.309,0.43700000000000006,0.452,0.23,0.377,0.95,0.413,0.747,2020-21,VirginiaTech,VirginiaTech,Virginia Tech,Keve Aluma,Virginia Tech
Nahiem Alleyne,189,0.557,0.513,0.11599999999999999,0.455,0.1,0.376,0.33799999999999997,0.292,0.508,0.43799999999999994,0.905,0.29600000000000004,0.821,2020-21,VirginiaTech,VirginiaTech,Virginia Tech,Nahiem Alleyne,Virginia Tech
Justyn Mutts,153,0.556,0.5589999999999999,0.49700000000000005,0.6970000000000001,0.509,0.21600000000000003,0.303,0.2,0.28800000000000003,0.341,0.9329999999999999,0.34600000000000003,0.509,2020-21,VirginiaTech,VirginiaTech,Virginia Tech,Justyn Mutts,Virginia Tech
Tyrece Radford,139,0.623,0.59,0.54,0.7070000000000001,0.321,0.309,0.465,0.25,0.151,0.28600000000000003,1,0.41,0.754,2020-21,VirginiaTech,VirginiaTech,Virginia Tech,Tyrece Radford,Virginia Tech
Jalen Cone,122,0.527,0.508,0.049,0.5,0.33299999999999996,0.115,0.35700000000000004,0.2,0.836,0.353,0.778,0.107,0.846,2020-21,VirginiaTech,VirginiaTech,Virginia Tech,Jalen Cone,Virginia Tech
Hunter Cattoor,120,0.655,0.625,0.20800000000000002,0.48,0.583,0.067,0.75,0.16699999999999998,0.725,0.43700000000000006,0.895,0.358,0.7909999999999999,2020-21,VirginiaTech,VirginiaTech,Virginia Tech,Hunter Cattoor,Virginia Tech
Wabissa Bede,88,0.411,0.40299999999999997,0.136,0.41700000000000004,0,0.364,0.43799999999999994,0.071,0.5,0.25,0.909,0.08,0.5710000000000001,2020-21,VirginiaTech,VirginiaTech,Virginia Tech,Wabissa Bede,Virginia Tech
Joe Bamisile,46,0.45199999999999996,0.413,0.413,0.526,0.3,0.239,0.273,0.667,0.348,0.25,0.5,0.174,0.875,2020-21,VirginiaTech,VirginiaTech,Virginia Tech,Joseph Bamisile,Virginia Tech
David N'Guessan,35,0.554,0.6,0.7709999999999999,0.63,0.706,0.171,0.667,0.25,0.057,0,NA,0.8290000000000001,0.414,2020-21,VirginiaTech,VirginiaTech,Virginia Tech,David N'Guessan,Virginia Tech
Daivien Williamson,213,0.5770000000000001,0.5379999999999999,0.40399999999999997,0.5579999999999999,0.10400000000000001,0.155,0.424,0,0.441,0.37200000000000005,0.7709999999999999,0.32899999999999996,0.7859999999999999,2020-21,WakeForest,WakeForest,Wake Forest,Daivien Williamson,Wake Forest
Isaiah Mucius,192,0.521,0.49200000000000005,0.318,0.623,0.368,0.271,0.308,0.188,0.41100000000000003,0.342,0.889,0.271,0.7120000000000001,2020-21,WakeForest,WakeForest,Wake Forest,Isaiah Mucius,Wake Forest
Ismael Massoud,170,0.48000000000000004,0.447,0.171,0.44799999999999995,0.308,0.2,0.265,0.556,0.629,0.336,0.9440000000000001,0.24100000000000002,0.732,2020-21,WakeForest,WakeForest,Wake Forest,Ismael Massoud,Wake Forest
Ody Oguama,114.99999999999999,0.521,0.47,0.5479999999999999,0.47600000000000003,0.5,0.452,0.462,0.33299999999999996,0,NA,NA,0.583,0.672,2020-21,WakeForest,WakeForest,Wake Forest,Ody Oguama,Wake Forest
Carter Whitt,106,0.399,0.387,0.179,0.368,0,0.425,0.289,0,0.396,0.33299999999999996,0.643,0.085,0.667,2020-21,WakeForest,WakeForest,Wake Forest,Carter Whitt,Wake Forest
Jonah Antonio,105,0.608,0.59,0.038,0.5,1,0.057,0.5,0.33299999999999996,0.905,0.4,0.895,0.105,0.909,2020-21,WakeForest,WakeForest,Wake Forest,Jonah Antonio,Wake Forest
Jalen Johnson,93,0.514,0.489,0.19399999999999998,0.556,0.4,0.129,0.33299999999999996,0.25,0.677,0.33299999999999996,0.9520000000000001,0.183,0.765,2020-21,WakeForest,WakeForest,Wake Forest,Jalen Johnson,Wake Forest
Ian DuBose,90,0.546,0.528,0.37799999999999995,0.588,0.15,0.222,0.4,0,0.4,0.361,0.6920000000000001,0.467,0.595,2020-21,WakeForest,WakeForest,Wake Forest,Ian Dubose,Wake Forest
Jahcobi Neath,70,0.4690000000000001,0.4,0.414,0.517,0.2,0.2,0.28600000000000003,0,0.386,0.222,1,0.3,0.905,2020-21,WakeForest,WakeForest,Wake Forest,Jahcobi Neath,Wake Forest
Isaiah Wilkins,31,0.466,0.435,0.19399999999999998,0.5,0.33299999999999996,0.258,0.375,0,0.5479999999999999,0.294,1,0.226,0.7140000000000001,2020-21,WakeForest,WakeForest,Wake Forest,Isaiah Wilkins,Wake Forest
D'Mitrik Trice,342,0.532,0.49,0.14,0.583,0.179,0.392,0.381,0.21600000000000003,0.46799999999999997,0.369,0.644,0.295,0.792,2020-21,Wisconsin,Wisconsin,Wisconsin,D'Mitrik Trice,Wisconsin
Micah Potter,271,0.605,0.568,0.39899999999999997,0.7040000000000001,0.5660000000000001,0.23600000000000002,0.32799999999999996,0.33299999999999996,0.365,0.384,0.895,0.26899999999999996,0.8490000000000001,2020-21,Wisconsin,Wisconsin,Wisconsin,Micah Potter,Wisconsin
Brad Davison,261,0.515,0.46,0.18,0.36200000000000004,0.17600000000000002,0.207,0.185,0.2,0.613,0.38799999999999996,0.8059999999999999,0.29100000000000004,0.868,2020-21,Wisconsin,Wisconsin,Wisconsin,Brad Davison,Wisconsin
Aleem Ford,236,0.517,0.5,0.225,0.642,0.647,0.22,0.34600000000000003,0.389,0.555,0.336,0.932,0.127,0.767,2020-21,Wisconsin,Wisconsin,Wisconsin,Aleem Ford,Wisconsin
Nate Reuvers,231,0.48200000000000004,0.45,0.23800000000000002,0.527,0.552,0.489,0.425,0.292,0.273,0.28600000000000003,0.9440000000000001,0.19,0.795,2020-21,Wisconsin,Wisconsin,Wisconsin,Nate Reuvers,Wisconsin
Jonathan Davis,185,0.511,0.484,0.368,0.632,0.349,0.449,0.325,0.259,0.184,0.382,0.846,0.222,0.732,2020-21,Wisconsin,Wisconsin,Wisconsin,Jonathan Davis,Wisconsin
Tyler Wahl,130,0.48900000000000005,0.465,0.508,0.515,0.353,0.223,0.44799999999999995,0.077,0.26899999999999996,0.257,0.889,0.462,0.5670000000000001,2020-21,Wisconsin,Wisconsin,Wisconsin,Tyler Wahl,Wisconsin
Trevor Anderson,57.99999999999999,0.625,0.621,0.31,0.611,0.182,0.293,0.41200000000000003,0.14300000000000002,0.397,0.522,0.75,0.276,0.625,2020-21,Wisconsin,Wisconsin,Wisconsin,Trevor Anderson,Wisconsin
